TicketID,category,TicketText message
1,Password reset,I can't login to my account. Please help me to reset my password.
2,Technical Issue,The app keeps crashing whenever I try to open it.
3,Billing Issue,I was charged twice for my subscription this month.
4,Account Access,I forgot my username and can't access the dashboard.
5,Feature Request,It would be great to have dark mode in the app.
6,Technical Issue,Getting a 404 error when I click on the settings page.
7,Password reset,Need to update my password but the link is not working.
8,Billing Issue,I cancelled my subscription but I still got billed.
9,General Inquiry,How can I change the email associated with my account?
10,Account Access,I'm being asked for 2FA code but never set it up.
11,Technical Issue,The app freezes on the loading screen.
12,Password reset,Reset password email not received.
13,Billing Issue,Why was my card declined for payment?
14,Feature Request,Please add multi-language support.
15,Account Access,Locked out after too many failed login attempts.
16,General Inquiry,What is your refund policy?
17,Technical Issue,Push notifications are not working.
18,Password reset,Password reset link expired before I could use it.
19,Billing Issue,Need an invoice for last month's payment.
20,Feature Request,Can you add a calendar integration?
21,Account Access,Can't verify my phone number.
22,General Inquiry,How do I delete my account?
23,Technical Issue,Audio is not working during video calls.
24,Password reset,My password was changed without my knowledge.
25,Billing Issue,Charged for a plan I didn't subscribe to.
26,Feature Request,Add support for exporting data to CSV.
27,Account Access,Account suspended without explanation.
28,General Inquiry,Is there a mobile version of the app?
29,Technical Issue,App crashes when uploading files.
30,Password reset,Can't remember security questions for password reset.
31,Billing Issue,Need to update my billing address.
32,Feature Request,Please add a dark theme for accessibility.
33,Account Access,Can't link my social media account.
34,General Inquiry,How do I contact customer support?
35,Technical Issue,Frequent disconnects from the server.
36,Password reset,Reset link leads to a blank page.
37,Billing Issue,Refund not processed after cancellation.
38,Feature Request,Add biometric login support.
39,Account Access,Can't change my profile picture.
40,General Inquiry,What are your business hours?
41,Technical Issue,App not compatible with my device.
42,Password reset,Password reset option missing on login page.
43,Billing Issue,Received a payment reminder after paying.
44,Feature Request,Add a widget for quick access.
45,Account Access,Can't update my contact information.
46,General Inquiry,Do you offer student discounts?
47,Technical Issue,Slow performance after latest update.
48,Password reset,Reset email goes to spam folder.
49,Billing Issue,Double charged for annual subscription.
50,Feature Request,Add offline mode.
51,Account Access,Can't deactivate my account.
52,General Inquiry,How do I enable two-factor authentication?
53,Technical Issue,App doesn't sync across devices.
54,Password reset,Reset link not working on mobile.
55,Billing Issue,Incorrect amount charged this month.
56,Feature Request,Add support for custom notifications.
57,Account Access,Can't remove old devices from my account.
58,General Inquiry,How do I change my username?
59,Technical Issue,App closes unexpectedly during use.
60,Password reset,Can't reset password due to captcha error.
61,Billing Issue,Subscription auto-renewed without notice.
62,Feature Request,Add integration with Google Drive.
63,Account Access,Can't access premium features after upgrade.
64,General Inquiry,Is there a desktop version available?
65,Technical Issue,App doesn't load on Wi-Fi.
66,Password reset,Reset email contains broken link.
67,Billing Issue,Charged after free trial ended.
68,Feature Request,Add voice command support.
69,Account Access,Can't update my email address.
70,General Inquiry,How do I unsubscribe from emails?
71,Technical Issue,App not responding to touch input.
72,Password reset,Reset link expired immediately.
